=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {30,86,119,122,189,264,157,203,234,81,115,207,33,49,136,146} on [31.89,41.90]"
"Group {264,81,115,207,33,49,136,146,30,86,119,122,189,157,203,234} on [44.24,49.24]"
"Group {131,207,30,86,119,122,189,157,203,234,33,252,223,19,43,83} on [87.53,96.86]"
"Group {28,17,112,134,58,165,229,288,192,21,118,228,52,219,225,117} on [144.18,149.00]"
"Group {131,207,30,86,119,122,189,157,203,234,33,252,223,43,83} on [87.53,97.23]"
"Group {17,112,134,58,165,229,288,192,21,118,228,52,219,225,117} on [143.19,149.00]"
"Group {81,115,207,49,136,146,30,86,119,122,189,157,203,234} on [44.24,50.26]"
"Group {131,207,30,86,119,122,189,157,203,234,33,57,252,223} on [70.32,79.97]"
"Group {131,207,30,86,119,122,189,157,203,234,33,252,223,19} on [77.62,96.86]"
"Group {131,207,30,86,119,122,189,157,203,234,33,252,223,222} on [94.94,99.43]"
"Group {130,176,194,290,196,16,88,103,12,178,1,144,70,154} on [61.69,68.27]"
"Group {168,285,181,84,217,130,176,16,88,103,12,178,1,154} on [86.58,90.74]"
"Group {182,204,131,207,30,86,119,122,189,157,203,234,33,222} on [101.92,108.70]"
"Group {115,207,49,136,146,30,86,119,122,189,157,203,234} on [44.24,54.14]"
"Group {115,207,30,86,119,122,189,157,203,234,252,264,33} on [56.71,64.05]"
"Group {207,30,86,119,122,189,157,203,234,33,57,252,223} on [69.95,79.97]"
"Group {131,207,30,86,119,122,189,157,203,234,33,252,223} on [70.32,99.43]"
"Group {130,176,194,290,196,16,88,103,12,178,1,144,70} on [59.62,68.27]"
"Group {55,271,224,44,8,60,3,22,180,211,213,293} on [18.77,22.40]"
"Group {115,207,30,86,119,122,189,157,203,234,264,33} on [56.71,64.37]"
"Group {115,207,30,86,119,122,189,157,203,234,33,57} on [61.63,67.68]"
"Group {207,30,86,119,122,189,157,203,234,33,252,223} on [69.95,99.43]"
"Group {84,217,130,176,16,88,103,12,178,1,154,79} on [102.03,108.97]"
"Group {192,21,118,228,17,112,134,52,58,165,229,288} on [128.68,135.40]"
"Group {17,112,134,58,165,229,288,192,21,118,228,52} on [141.30,149.00]"
"Group {131,207,30,86,119,122,189,157,203,234,33,222} on [94.94,108.70]"
"Group {126,281,67,212,139,232,116,153,188,29,296} on [47.79,51.61]"
"Group {115,207,30,86,119,122,189,157,203,234,252} on [54.42,64.05]"
"Group {115,207,30,86,119,122,189,157,203,234,33} on [56.71,67.68]"
"Group {207,30,86,119,122,189,157,203,234,33,57} on [61.63,79.97]"
"Group {194,290,196,16,88,103,12,173,178,1,144} on [49.66,53.98]"
"Group {194,290,196,16,88,103,12,173,178,1,144} on [54.29,58.47]"
"Group {194,290,196,16,88,103,12,178,1,144,70} on [57.12,68.27]"
"Group {9,130,176,196,16,88,103,12,178,1,154} on [70.27,78.38]"
