400
150
[424.61412629261895 394.10293818768184]
[423.517214279496 392.43057936390437]
[422.42434840268186 390.7555736399454]
[421.1337683544964 389.227698272245]
[419.8841906447783 387.6661107635297]
[418.8480789941284 385.95541714765693]
[417.81708572845537 384.2416339390402]
[416.8401231009475 382.4964852277685]
[415.8099969294516 380.78218068341266]
[414.7217139456858 379.10419375043443]
[413.4452412390274 377.5645127999917]
[412.2975866522419 375.92656012990926]
[411.15835188659423 374.28274014318936]
[409.92188984812583 372.7107472591639]
[408.60761719024913 371.2032037670027]
[407.22196697658 369.7609924491444]
[405.6969890039809 368.46699006000927]
[404.1927904900184 367.1488903556648]
[402.6547864326369 365.87039768088016]
[401.02237520524636 364.71487460249125]
[399.4792784426003 363.44253330350296]
[397.799388172719 362.3571906473993]
[396.20091874962884 361.15515258500443]
[394.60930854435094 359.94404691064926]
[393.139049469439 358.5881935805877]
[391.8440735400826 357.0640422290521]
[390.68691482333475 355.4327900400101]
[389.57609151680833 353.76963893993604]
[388.58224012441656 352.0340527537036]
[387.72678965175226 350.2262351498457]
[386.9631452914688 348.3777635403783]
[386.12296227323304 346.56280004326095]
[385.1951226711145 344.79104563794954]
[384.05980053135 343.1445209223864]
[382.7324667879535 341.6484643948311]
[381.236466401774 340.32106737639583]
[379.88455085503597 338.84718666396077]
[378.6338304943125 337.2865141873431]
[377.4006234850573 335.71196648329476]
[375.99559744656744 334.2886247003187]
[374.4966635928272 332.96454112965137]
[373.06864743898257 331.56426620508876]
[371.6418661109017 330.1627331010061]
[370.3351687534597 328.6486188331735]
[368.8569461885734 327.3014521587561]
[367.4237516131003 325.90647785475096]
[366.14346553129917 324.36996636805577]
[364.74950407662686 322.935786650277]
[363.50554301871557 321.3697212345295]
[362.2840786442473 319.7860467787448]
[360.9329812091722 318.31141607211566]
[359.4729593707333 316.9445451084614]
[357.8908732685726 315.721024137922]
[356.37327026468313 314.41838024084745]
[354.88149521111507 313.0862364086912]
[353.56825784854414 311.5777909739645]
[352.18373108383855 310.1345011077859]
[350.72615296364995 308.7650245568558]
[349.11312000833107 307.582601330995]
[347.54936953917786 306.33573146199376]
[346.095097997866 304.9627441043933]
[344.7080662455554 303.5218614172594]
[343.4557661540215 301.9624562483748]
[342.2402012620829 300.3742490850972]
[341.0598676121207 298.75968645863554]
[339.8202487477877 297.1901817370149]
[338.45884490304115 295.7250607278455]
[337.13856317097066 294.2227770835357]
[335.72061956896835 292.81230342495826]
[334.1945839924625 291.5195484523365]
[332.7433884219606 290.1433103130031]
[331.21545818602897 288.8527952243172]
[329.61799825386777 287.6494159137342]
[328.098715086512 286.3487319946403]
[326.72679019177065 284.8934581086694]
[325.44686379628945 283.35664698749986]
[324.36319056087905 281.6756793141476]
[323.39116075508855 279.92777827099474]
[322.20823616749874 278.3151129554145]
[321.0333819492589 276.6965587963317]
